open_time,open,high,low,close,volume,close_time
1643918400000,2598.11000000,2699.00000000,2576.31000000,2695.46000000,65086.29360000,1643932799999
1643932800000,2695.21000000,2698.43000000,2671.40000000,2682.99000000,41240.36560000,1643947199999
1643947200000,2682.99000000,2808.54000000,2675.48000000,2804.55000000,127324.07000000,1643961599999
1643961600000,2804.52000000,2870.00000000,2803.94000000,2828.17000000,108845.68600000,1643975999999
1643976000000,2828.33000000,2928.00000000,2762.45000000,2871.78000000,194620.54550000,1643990399999
1643990400000,2871.79000000,2968.86000000,2867.84000000,2958.75000000,126983.32160000,1644004799999
1644004800000,2958.75000000,2995.00000000,2930.17000000,2994.99000000,64988.94410000,1644019199999
1644019200000,2994.99000000,3017.02000000,2958.01000000,2997.74000000,74486.02620000,1644033599999
1644033600000,2997.75000000,3037.90000000,2987.69000000,3001.43000000,63785.42430000,1644047999999
1644048000000,3001.43000000,3035.69000000,2988.07000000,3011.72000000,47467.10580000,1644062399999
1644062400000,3011.72000000,3060.47000000,2998.05000000,3051.33000000,70988.49590000,1644076799999
1644076800000,3051.33000000,3055.85000000,2961.00000000,3011.00000000,73311.16260000,1644091199999
1644091200000,3011.00000000,3036.78000000,2993.36000000,3012.65000000,26765.09230000,1644105599999
1644105600000,3012.64000000,3033.84000000,3008.58000000,3008.60000000,23732.32460000,1644119999999
1644120000000,3008.59000000,3022.07000000,2988.70000000,3010.56000000,29287.15990000,1644134399999
1644134400000,3010.56000000,3022.52000000,2998.05000000,3006.40000000,25619.56290000,1644148799999
1644148800000,3006.39000000,3047.00000000,2950.21000000,2991.65000000,87507.13170000,1644163199999
1644163200000,2991.66000000,3009.98000000,2978.23000000,3001.39000000,31010.37230000,1644177599999
1644177600000,3001.40000000,3074.56000000,2975.39000000,3054.99000000,52238.04520000,1644191999999
1644192000000,3055.00000000,3075.00000000,2991.80000000,3068.82000000,74840.22700000,1644206399999
1644206400000,3068.82000000,3110.44000000,3055.34000000,3079.48000000,77490.90950000,1644220799999
1644220800000,3079.48000000,3085.82000000,3049.01000000,3067.24000000,53503.53560000,1644235199999
1644235200000,3067.24000000,3127.85000000,3054.09000000,3123.15000000,90836.76020000,1644249599999
1644249600000,3123.16000000,3186.00000000,3107.00000000,3166.64000000,101547.12100000,1644263999999
1644264000000,3166.65000000,3184.64000000,3129.53000000,3139.77000000,56851.69960000,1644278399999
1644278400000,3139.77000000,3157.40000000,3112.00000000,3146.45000000,57427.30720000,1644292799999
1644292800000,3146.46000000,3232.87000000,3142.35000000,3174.11000000,110663.59020000,1644307199999
1644307200000,3174.11000000,3178.66000000,3073.57000000,3105.20000000,113464.80900000,1644321599999
1644321600000,3105.19000000,3105.20000000,3029.20000000,3076.19000000,97760.20900000,1644335999999
1644336000000,3076.18000000,3084.98000000,3025.21000000,3051.60000000,69953.60500000,1644350399999
